Epoch,Batch,TrainLoss,Val_mAP
0,0,2.464447021484375,
0,1,1.4294694662094116,
0,,1.9469582438468933,0.0005529808113351464
1,0,1.0949114561080933,
1,1,0.24298782646656036,
1,,0.6689496412873268,0.0
2,0,0.9147325754165649,
2,1,0.5957905650138855,
2,,0.7552615702152252,0.0
3,0,1.0673822164535522,
3,1,0.651270866394043,
3,,0.8593265414237976,0.0
4,0,0.9478477835655212,
4,1,1.2374294996261597,
4,,1.0926386415958405,0.0
5,0,0.6035367846488953,
5,1,1.5097662210464478,
5,,1.0566515028476715,0.026113361120224
6,0,0.7309996485710144,
6,1,0.24384835362434387,
6,,0.48742400109767914,0.003755300072953105
7,0,0.563988447189331,
7,1,0.5030248165130615,
7,,0.5335066318511963,0.0009611182031221688
8,0,0.6317596435546875,
8,1,0.30928871035575867,
8,,0.4705241769552231,0.0005554929375648499
9,0,0.6023123264312744,
9,1,0.27825605869293213,
9,,0.44028419256210327,0.0010989753063768148
10,0,0.5283532738685608,
10,1,0.4297925531864166,
10,,0.4790729135274887,0.0019079550402238965
11,0,0.3625205159187317,
11,1,1.0256824493408203,
11,,0.694101482629776,0.004425101913511753
12,0,0.4634491801261902,
12,1,0.4614298343658447,
12,,0.46243950724601746,0.0027914270758628845
13,0,0.4823801815509796,
13,1,0.36409494280815125,
13,,0.42323756217956543,0.0019015598809346557
14,0,0.4903329312801361,
14,1,0.17565815150737762,
14,,0.33299554139375687,0.003329374361783266
15,0,0.4785679280757904,
15,1,0.3464497923851013,
15,,0.41250886023044586,0.001254966133274138
16,0,0.49455103278160095,
16,1,0.17761841416358948,
16,,0.3360847234725952,0.0013608558801934123
17,0,0.34434252977371216,
17,1,0.6554436683654785,
17,,0.49989309906959534,0.0019178309012204409
18,0,0.25837019085884094,
18,1,0.874442458152771,
18,,0.566406324505806,0.001996188424527645
19,0,0.40655815601348877,
19,1,0.28208380937576294,
19,,0.34432098269462585,0.002474575536325574
20,0,0.3848557770252228,
20,1,0.4299516975879669,
20,,0.40740373730659485,0.0035249185748398304
21,0,0.28887516260147095,
21,1,0.7478076219558716,
21,,0.5183413922786713,0.004942940082401037
22,0,0.3546294867992401,
22,1,0.3665638267993927,
22,,0.3605966567993164,0.0026992883067578077
23,0,0.3537381589412689,
23,1,0.3479613661766052,
23,,0.3508497625589371,0.0033556430134922266
24,0,0.35719096660614014,
24,1,0.2816556692123413,
24,,0.3194233179092407,0.003922894597053528
25,0,0.3556634187698364,
25,1,0.33981338143348694,
25,,0.3477384001016617,0.0029315815772861242
26,0,0.35683220624923706,
26,1,0.3034452795982361,
26,,0.3301387429237366,0.0026161116547882557
27,0,0.37976524233818054,
27,1,0.11668077111244202,
